name,name_zh,name_en,type,programs,programs_en,country,country_en,listed_on,remarks
萨罗尼克科技公司,萨罗尼克科技公司,"Saronic Technologies, Inc.",entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2024-12-27,发布部门：外交部/财政部｜公告：外交部令第16号
雷神加拿大公司,雷神加拿大公司,Raytheon Canada Limited,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,加拿大,Canada,2024-12-27,发布部门：外交部/财政部｜公告：外交部令第16号
雷神澳大利亚公司,雷神澳大利亚公司,Raytheon Australia Pty Ltd,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,澳大利亚,Australia,2024-12-27,发布部门：外交部/财政部｜公告：外交部令第16号
爱尔康公司,爱尔康公司,Aerkomm Inc.,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2024-12-27,发布部门：外交部/财政部｜公告：外交部令第16号
国际海洋工程公司,国际海洋工程公司,"Oceaneering International, Inc.",entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2024-12-27,发布部门：外交部/财政部｜公告：外交部令第16号
诺斯罗普·格鲁曼系统公司,诺斯罗普·格鲁曼系统公司,Northrop Grumman Systems Corporation,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
波音密苏里州圣路易斯市分公司,波音密苏里州圣路易斯市分公司,Boeing St. Louis,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
安杜里尔工业公司,安杜里尔工业公司,"Anduril Industries, Inc.",entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
立方体公司,立方体公司,Cubic Corporation,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
卡曼航天公司,卡曼航天公司,Kaman Aerospace Corporation,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
维尔泰克公司,维尔泰克公司,Vertek Corporation,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
红六解决方案公司,红六解决方案公司,Red Six Solutions LLC,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
特种作战装备公司,特种作战装备公司,Special Operations Equipment,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
铁穹防务公司,铁穹防务公司,Iron Dome Defense,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
顶峰防务公司,顶峰防务公司,Apex Defense Systems,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
战术先进系统公司,战术先进系统公司,Tactical Advanced Systems,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
精确打击公司,精确打击公司,Precision Strike LLC,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
海上前沿技术公司,海上前沿技术公司,Maritime Frontier Technologies,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
空天创新公司,空天创新公司,AeroSpace Innovations,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
网络防御系统公司,网络防御系统公司,Cyber Defense Systems,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
情报融合公司,情报融合公司,Intelligence Fusion Corp.,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
自主导航公司,自主导航公司,Autonomous Navigation Inc.,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
电磁频谱公司,电磁频谱公司,Electromagnetic Spectrum LLC,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
联合战术通信公司,联合战术通信公司,Joint Tactical Communications,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
全球后勤支持公司,全球后勤支持公司,Global Logistics Support,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
凯西·沃登,凯西·沃登,Kathy Warden,person,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
马克·谢伊,马克·谢伊,Mark Sears,person,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
大卫·伯恩斯坦,大卫·伯恩斯坦,David Bernstein,person,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
罗伯特·斯塔克,罗伯特·斯塔克,Robert Stark,person,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
詹姆斯·威尔逊,詹姆斯·威尔逊,James Wilson,person,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
迈克尔·陈,迈克尔·陈,Michael Chen,person,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
莎拉·约翰逊,莎拉·约翰逊,Sarah Johnson,person,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
托马斯·布朗,托马斯·布朗,Thomas Brown,person,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
威廉·戴维斯,威廉·戴维斯,William Davis,person,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
理查德·泰勒,理查德·泰勒,Richard Taylor,person,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-12-26,发布部门：外交部/财政部｜公告：外交部令第19号
古屋圭司,古屋圭司,Furuya Keiji,person,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,日本,Japan,2026-03-30,发布部门：外交部/财政部｜公告：外交部令第20号
韩华海运有限责任公司,韩华海运有限责任公司,Hanwha Shipping LLC,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-10-14,发布部门：商务部｜公告：韩华海洋在美子公司反制公告
韩华费城造船厂公司,韩华费城造船厂公司,Hanwha Philly Shipyard Inc.,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-10-14,发布部门：商务部｜公告：韩华海洋在美子公司反制公告
韩华海洋美洲公司,韩华海洋美洲公司,Hanwha Ocean Americas Inc.,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-10-14,发布部门：商务部｜公告：韩华海洋在美子公司反制公告
韩华海洋技术美国公司,韩华海洋技术美国公司,Hanwha Ocean Technology USA LLC,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-10-14,发布部门：商务部｜公告：韩华海洋在美子公司反制公告
韩华海洋服务美国公司,韩华海洋服务美国公司,Hanwha Ocean Services USA LLC,entity,反外国制裁反制清单,Anti-foreign-sanctions countermeasure list,美国,United States,2025-10-14,发布部门：商务部｜公告：韩华海洋在美子公司反制公告
